,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
110,111,2022,The Batman,"$766,039,263","$369,345,583","$396,693,680"
111,112,2022,Thor: Love and Thunder,"$760,928,081","$343,256,830","$417,671,251"
112,113,2019,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935","$586,775,991"
113,114,2021,No Time to Die,"$759,959,662","$160,891,007","$599,068,655"
114,115,2014,Maleficent,"$758,536,735","$241,407,328","$517,129,407"
115,116,2012,The Amazing Spider-Man,"$757,890,267","$262,030,663","$495,859,604"
116,117,2009,2012,"$757,677,748","$166,112,167","$591,565,581"
117,118,2010,Shrek Forever After,"$756,244,673","$238,736,787","$517,507,886"
118,119,2014,X-Men: Days of Future Past,"$747,862,775","$233,921,534","$513,941,241"
119,120,2012,Madagascar 3: Europe's Most Wanted,"$746,921,271","$216,391,482","$530,529,789"
120,121,2016,Suicide Squad,"$745,744,980","$325,100,054","$420,644,926"
121,122,2013,Monsters University,"$743,455,810","$268,488,329","$474,967,481"
122,123,2019,Ne Zha Zhi Mo Tong Jiang Shi,"$742,718,496","$3,695,533","$739,022,963"
123,124,2003,The Matrix Reloaded,"$738,576,929","$281,553,689","$457,023,240"
124,125,2009,Up,"$731,463,377","$293,004,164","$438,459,213"
125,126,2010,Inception,"$728,507,158","$292,576,195","$435,930,963"
126,127,2021,F9: The Fast Saga,"$720,752,238","$173,005,945","$547,746,293"
127,128,2005,"The Chronicles of Narnia: The Lion, t…","$720,539,572","$291,710,957","$428,828,615"
128,129,2014,Captain America: The Winter Soldier,"$714,401,889","$259,746,958","$454,654,931"
129,130,2014,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589","$502,098,977"
130,131,2014,The Amazing Spider-Man 2,"$708,996,336","$202,853,933","$506,142,403"
131,132,2007,Transformers,"$708,272,592","$319,246,193","$389,026,399"
132,133,2010,The Twilight Saga: Eclipse,"$706,102,828","$300,531,751","$405,571,077"
133,134,2019,Liu Lang Di Qiu,"$701,801,455","$5,875,487","$695,925,968"
134,135,2017,It,"$701,012,746","$328,828,874","$372,183,872"
135,136,2021,Tang Ren Jie Tan An 3,"$699,072,066",,"$699,072,066"
136,137,2011,Mission: ImpossibleâGhost Protocol,"$694,713,230","$209,397,903","$485,315,327"
137,138,2015,Mission: ImpossibleâRogue Nation,"$688,858,992","$195,042,377","$493,816,615"
138,139,2009,The Twilight Saga: New Moon,"$687,557,727","$296,623,634","$390,934,093"
139,140,2011,"The Twilight Saga: Breaking Dawn, Part 1","$685,817,413","$281,287,133","$404,530,280"
140,141,2013,Gravity,"$685,710,761","$274,092,705","$411,618,056"
141,142,1994,Forrest Gump,"$679,835,137","$330,151,138","$349,683,999"
142,143,2012,The Hunger Games,"$677,923,379","$408,010,692","$269,912,687"
143,144,2016,Doctor Strange,"$676,343,174","$232,641,920","$443,701,254"
144,145,2023,MÇn JiÄng HÃ³ng (æ»¡æ±çº¢),"$673,556,758",,"$673,556,758"
145,146,1999,The Sixth Sense,"$672,806,292","$293,506,292","$379,300,000"
146,147,2013,Man of Steel,"$667,999,518","$291,045,518","$376,954,000"
147,148,2011,Kung Fu Panda 2,"$664,837,547","$165,249,063","$499,588,484"
148,149,2002,Star Wars Ep. II: Attack of the Clones,"$656,695,615","$310,676,740","$346,018,875"
149,150,2017,Justice League,"$655,945,209","$229,024,295","$426,920,914"
150,151,2003,Pirates of the Caribbean: The Curse o…,"$654,310,819","$305,410,819","$348,900,000"
151,152,2012,Men in Black 3,"$654,213,485","$179,020,854","$475,192,631"
152,153,2015,The Martian,"$653,609,107","$228,433,663","$425,175,444"
153,154,2006,Ice Age: The Meltdown,"$651,899,282","$195,330,621","$456,568,661"
154,155,2018,Fantastic Beasts: The Crimes of Grind…,"$648,455,339","$159,555,901","$488,899,438"
155,156,2014,Interstellar,"$648,082,655","$188,017,894","$460,064,761"
156,157,2015,The Hunger Games: Mockingjay - Part 2,"$647,396,133","$281,723,902","$365,672,231"
157,158,2014,Big Hero 6,"$647,263,005","$222,527,828","$424,735,177"
158,159,2013,Thor: The Dark World,"$644,602,516","$206,362,140","$438,240,376"
159,160,2008,Kung Fu Panda,"$631,910,531","$215,434,591","$416,475,940"
160,161,2004,The Incredibles,"$631,441,092","$261,441,092","$370,000,000"
161,162,2016,Sing,"$631,064,182","$270,329,045","$360,735,137"
162,163,2016,Moana,"$630,626,714","$248,757,044","$381,869,670"
163,164,2011,Fast Five,"$630,163,454","$210,031,325","$420,132,129"
164,165,2007,Ratatouille,"$626,549,695","$206,445,654","$420,104,041"
165,166,2008,Hancock,"$624,234,272","$227,946,274","$396,287,998"
166,167,2018,Ant-Man and the Wasp,"$623,144,660","$216,648,740","$406,495,920"
167,168,2004,The Passion of the Christ,"$622,313,635","$370,782,930","$251,530,705"
168,169,2010,Iron Man 2,"$621,156,389","$312,433,331","$308,723,058"
169,170,2012,Life of Pi,"$619,310,368","$124,987,022","$494,323,346"
170,171,1997,The Lost World: Jurassic Park,"$618,638,999","$229,086,679","$389,552,320"
171,172,2014,How to Train Your Dragon 2,"$614,586,270","$177,002,924","$437,583,346"
172,173,2017,Logan,"$614,202,315","$226,277,068","$387,925,247"
173,174,2005,War of the Worlds,"$606,836,535","$234,280,354","$372,556,181"
174,175,2023,LiÃº LÃ ng DÃ¬ QiÃº 2 (æµæµªå°ç2),"$604,380,922","$5,023,132","$599,357,790"
175,176,2022,Chang Jin Hu Zhi Shui Men Qiao (é¿æ´¥æ¹ä¹æ°´…,"$602,986,104",,"$602,986,104"
176,177,2017,Transformers: The Last Knight,"$602,893,340","$130,168,683","$472,724,657"
177,178,2008,Madagascar: Escape 2 Africa,"$599,680,774","$180,174,880","$419,505,894"
178,179,2006,Casino Royale,"$594,420,216","$167,365,000","$427,055,216"
179,180,2008,Quantum of Solace,"$591,692,078","$169,368,427","$422,323,651"
180,181,2008,Mamma Mia!,"$590,493,991","$144,130,063","$446,363,928"
181,182,1997,Men in Black,"$587,790,539","$250,690,539","$337,100,000"
182,183,2011,The Hangover Part II,"$586,764,305","$254,464,305","$332,300,000"
183,184,2007,I am Legend,"$585,532,684","$256,393,010","$329,139,674"
184,185,2008,Iron Man,"$585,171,547","$318,604,126","$266,567,421"
185,186,2010,Tangled,"$583,777,242","$200,821,936","$382,955,306"
186,187,2006,Night at the Museum,"$579,446,407","$250,863,268","$328,583,139"
187,188,2018,Ready Player One,"$579,055,653","$137,690,172","$441,365,481"
188,189,2013,The Croods,"$573,068,425","$187,168,425","$385,900,000"
189,190,2015,Fifty Shades of Grey,"$570,794,950","$166,167,230","$404,627,720"
190,191,2011,The Smurfs,"$563,749,323","$142,614,158","$421,135,165"
191,192,2017,Kong: Skull Island,"$561,072,059","$168,052,812","$393,019,247"
192,193,2001,"Monsters, Inc.","$560,483,719","$290,149,425","$270,334,294"
193,194,2011,Cars 2,"$560,155,383","$191,450,875","$368,704,508"
